2023-04-02 00:06:53,303 INFO [root] [run.py | <module>:18] - 正在导出测试报告！
2023-04-02 00:06:55,401 INFO [root] [base_page.py | __init__:13] - 正在初始化driver：<selenium.webdriver.chrome.webdriver.WebDriver (session="a44486354f742a5affa24ce6849f39a9")>
2023-04-02 00:06:55,401 INFO [root] [base_page.py | __init__:13] - 正在初始化driver：<selenium.webdriver.chrome.webdriver.WebDriver (session="a44486354f742a5affa24ce6849f39a9")>
2023-04-02 00:06:55,401 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:username]
2023-04-02 00:06:55,418 INFO [root] [base_page.py | base_input:36] - 正在对[name:username]输入框进行清空
2023-04-02 00:06:55,460 INFO [root] [base_page.py | base_input:38] - 正在对[name:username]输入框输入内容：
2023-04-02 00:06:55,515 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:password]
2023-04-02 00:06:55,530 INFO [root] [base_page.py | base_input:36] - 正在对[name:password]输入框进行清空
2023-04-02 00:06:55,579 INFO [root] [base_page.py | base_input:38] - 正在对[name:password]输入框输入内容：123123
2023-04-02 00:06:55,646 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:vertify]
2023-04-02 00:06:55,661 INFO [root] [base_page.py | base_input:36] - 正在对[name:vertify]输入框进行清空
2023-04-02 00:06:55,699 INFO [root] [base_page.py | base_input:38] - 正在对[name:vertify]输入框输入内容：8888
2023-04-02 00:06:55,759 INFO [root] [base_page.py | base_click:42] - 正在点击[xpath://span/input[@value='登录']]元素
2023-04-02 00:06:55,759 INFO [root] [base_page.py | base_find:18] - 正在定位元素[xpath://span/input[@value='登录']]
2023-04-02 00:06:55,833 INFO [root] [base_page.py | base_find:18] - 正在定位元素[id:error]
2023-04-02 00:06:55,872 INFO [root] [base_page.py | base_text:47] - 正在获取('id', 'error')元素文本：用户名不能为空!
2023-04-02 00:06:55,872 ERROR [root] [test_login.py | test_login:40] - 断言错误!
2023-04-02 00:06:55,873 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:username]
2023-04-02 00:06:55,882 INFO [root] [base_page.py | base_input:36] - 正在对[name:username]输入框进行清空
2023-04-02 00:06:55,907 INFO [root] [base_page.py | base_input:38] - 正在对[name:username]输入框输入内容：17600682222
2023-04-02 00:06:55,949 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:password]
2023-04-02 00:06:55,956 INFO [root] [base_page.py | base_input:36] - 正在对[name:password]输入框进行清空
2023-04-02 00:06:55,980 INFO [root] [base_page.py | base_input:38] - 正在对[name:password]输入框输入内容：123121
2023-04-02 00:06:56,029 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:vertify]
2023-04-02 00:06:56,037 INFO [root] [base_page.py | base_input:36] - 正在对[name:vertify]输入框进行清空
2023-04-02 00:06:56,064 INFO [root] [base_page.py | base_input:38] - 正在对[name:vertify]输入框输入内容：8888
2023-04-02 00:06:56,113 INFO [root] [base_page.py | base_click:42] - 正在点击[xpath://span/input[@value='登录']]元素
2023-04-02 00:06:56,114 INFO [root] [base_page.py | base_find:18] - 正在定位元素[xpath://span/input[@value='登录']]
2023-04-02 00:06:56,245 INFO [root] [base_page.py | base_find:18] - 正在定位元素[id:error]
2023-04-02 00:06:56,262 INFO [root] [base_page.py | base_text:47] - 正在获取('id', 'error')元素文本：账号密码不正确!
2023-04-02 00:06:56,263 ERROR [root] [test_login.py | test_login:40] - 断言错误!
2023-04-02 00:06:56,263 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:username]
2023-04-02 00:06:56,269 INFO [root] [base_page.py | base_input:36] - 正在对[name:username]输入框进行清空
2023-04-02 00:06:56,296 INFO [root] [base_page.py | base_input:38] - 正在对[name:username]输入框输入内容：13800001111
2023-04-02 00:06:56,367 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:password]
2023-04-02 00:06:56,376 INFO [root] [base_page.py | base_input:36] - 正在对[name:password]输入框进行清空
2023-04-02 00:06:56,409 INFO [root] [base_page.py | base_input:38] - 正在对[name:password]输入框输入内容：
2023-04-02 00:06:56,445 INFO [root] [base_page.py | base_find:18] - 正在定位元素[name:vertify]
2023-04-02 00:06:56,454 INFO [root] [base_page.py | base_input:36] - 正在对[name:vertify]输入框进行清空
2023-04-02 00:06:56,480 INFO [root] [base_page.py | base_input:38] - 正在对[name:vertify]输入框输入内容：8888
2023-04-02 00:06:56,524 INFO [root] [base_page.py | base_click:42] - 正在点击[xpath://span/input[@value='登录']]元素
2023-04-02 00:06:56,524 INFO [root] [base_page.py | base_find:18] - 正在定位元素[xpath://span/input[@value='登录']]
2023-04-02 00:06:56,565 INFO [root] [base_page.py | base_find:18] - 正在定位元素[id:error]
2023-04-02 00:06:56,585 INFO [root] [base_page.py | base_text:47] - 正在获取('id', 'error')元素文本：密码不能为空!
